"Meses 2015a2022","Arribo de visitantes ","Pernoctaciones de visitantes","N°De Establecimientos","N°De Habitaciones","N°De Plazas Cama"
"Enero ","19103","26656","198","3183","6126"
"Febrero","16938","23154","201","3228","6212"
"Marzo","18339","24998","202","3237","6257"
"Abril","19439","27915","205","3254","6274"
"Mayo","20375","29148","204","3260","6313"
"Junio","21098","30867","203","3331","6335"
"Julio","29508","43918","203","3289","6347"
"Agosto","24807","37042","206","3294","6344"
"Setiembre","21644","31665","210","3321","6412"
"Octubre","23451","33489","210","3317","6409"
"Noviembre","19047","25979","210","3305","6383"
"Diciembre","1848","25084","210","3364","6462"
"Enero","1789","23816","212","3354","6402"
"Febrero","18771","26106","212","3379","6451"
"Marzo","20599","29714","210","3344","6386"
"Abril","18068","25240","210","3360","6439"
"Mayo","20338","28023","214","3437","6549"
"Junio","19457","28016","214","3441","6546"
"Julio","30307","46382","214","3423","6538"
"Agosto","24116","35442","216","3457","6599"
"Setiembre","22065","29950","217","3499","6666"
"Octubre","21029","31682","215","3459","6609"
"Noviembre","20401","29342","213","3426","6548"
"Diciembre","18698","26230","214","3458","6588"
"Enero","19891","28870","207","3324","6353"
"Febrero","17024","25084","208","3396","6507"
"Marzo","16836","24422","207","3338","6420"
"Abril","18653","29099","210","3444","6603"
"Mayo","20726","30860","211","3453","6579"
"Junio","24164","34414","211","3465","6594"
"Julio","34425","50984","213","3451","6561"
"Agosto","24298","39239","215","3451","6553"
"Setiembre","22842","32198","214","3435","6501"
"Octubre","20301","29719","215","3465","6594"
"Noviembre","17325","26586","213","3422","6523"
"Diciembre","19583","26131","215","3433","6521"
"Enero","20050","30037","212","3421","6485"
"Febrero","19843","28558","214","3490","6583"
"Marzo","22026","33230","217","3542","6699"
"Abril","20926","31164","217","3536","6708"
"Mayo","21457","32656","216","3524","6644"
"Junio","23279","34761","218","3555","6702"
"Julio","30789","47077","218","3567","6742"
"Agosto","28128","42938","218","3568","6740"
"Setiembre","23451","34274","218","3548","6677"
"Octubre","23451","35251","216","3528","6624"
"Noviembre","23758","34033","217","3572","6753"
"Diciembre","20920","29336","215","3554","6659"
"Enero ","20591","31143","240","3697","6847"
"Febrero","19484","28297","244","3785","7038"
"Marzo","20080","30014","245","3779","7050"
"Abril","23526","34068","245","3783","7051"
"Mayo","21535","32592","245","3795","7082"
"Junio","21770","32956","246","3861","7205"
"Julio","33271","56184","248","3888","7237"
"Agosto","30818","50355","247","3890","7216"
"Setiembre","22835","36161","246","3867","7198"
"Octubre","24127","37769","247","3830","7162"
"Noviembre","19933","32158","244","3888","7259"
"Diciembre","19627","29943","245","3888","7236"
"Enero ","20563","31414","262","3858","7105"
"Febrero","23896","36394","262","3889","7164"
"Marzo","7009","9552","262","3868","7132"
"Abril","212","259","9","303","594"
"Mayo","1198","36227","31","914","1679"
"Junio","1668","6227","34","1000","1827"
"Julio","8624","12773","189","3245","6006"
"Agosto","8286","13063","191","3288","6067"
"Setiembre","12164","17971","194","3351","6165"
"Octubre","12559","19146","180","3147","5725"
"Noviembre","11639","19457","181","3159","5746"
"Diciembre","1578","22167","183","3185","5796"
"Enero ","13382","18664","229","3455","6218"
"Febrero","7458","11298","229","3522","6324"
"Marzo","12174","17592","234","3627","6529"
"Abril","12341","17718","232","3596","6484"
"Mayo","15046","20373","230","3559","6403"
"Junio","18156","23441","228","3547","6383"
"Julio","30276","41636","231","3596","6475"
"Agosto","29491","40756","232","3616","6506"
"Setiembre","21424","29401","234","3678","6630"
"Octubre","31099","42413","236","3695","6676"
"Noviembre","21006","26925","237","3704","6694"
"Diciembre","16758","21938","237","3707","6708"
"Enero ","27818","33947","242","3614","6591"
"Febrero","31160","37497","241","3590","6535"
"Marzo","28417","33525","242","3629","6639"
"Abril","21794","30231","245","3703","6821"
"Mayo","26603","37248","246","3733","6855"
